International Designator,National Designator,Name of Space Object,State/Organization,Date of Launch,GSO Location,UN Registered,Registration Document,Other Documents,Status,Date of Decay or Change,Function of Space Object,Secretariat`s Remarks,External website
[2022-179A],,?[EROS C3],[(for Israel)],[2022-12-30],,No,,,[in orbit],,------,Not registered with the United Nations.,
1998-067UT,55126,ORCASat?,Canada,12/29/2022,,Yes,ST/SG/SER.E/1115,,[decayed],[2023-07-11],Student training and technology demonstration,Date of launch and date of deployment provided by State of registry in ST/SG/SER.E/1115. Date of launch is date of deployment from the ISS.,Link
[1998-067UU],,?[DANTESAT],[(for Italy)],[2022-12-29],,No,,,[decayed],[2023-02-07],,Not registered with the United Nations. Date of launch is date of deployment from the ISS.,
[1998-067UR],,?[NUTSAT],[(for Taiwan Province of China)],[2022-12-29],,No,,,[decayed],[2023-04-04],,Not registered with the United Nations. Date of launch is date of deployment from the ISS.,
1998-067US,55125,LORIS?,Canada,12/29/2022,,Yes,ST/SG/SER.E/1115,,[decayed],[2023-06-03],"The cubesat LORIS will capture images of Nova Scotia, Canada and its surrounding coastline in order to perform research and development on the region?? environment and physical systems, as well as atmospheric investigation via remote sensing technology.",Date of launch and date of deployment provided by State of registry in ST/SG/SER.E/1115. Date of launch used in the Online Index is date of deployment from the ISS.,Link
2022-178A,,Shiyan 10 02?,China,12/29/2022,,Yes,ST/SG/SER.E/1123,,in orbit,,Test satellite,------,
[1998-067UW],,SPORT?,Brazil,12/29/2022,,Yes,ST/SG/SER.E/1141,,[decayed],[2023-10-11],Scientific satellite,Date of launch is date of deployment from the ISS.,
1998-067UX,,PetitSat?,USA,12/29/2022,,Yes,ST/SG/SER.E/1110,ST/SG/SER.E/1130,decayed,4/10/2023,,Date of launch is date of deployment from the ISS.,
1998-067UQ,,MARIO?,USA,12/29/2022,,Yes,ST/SG/SER.E/1110,ST/SG/SER.E/1131,decayed,5/4/2023,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is date of deployment from the ISS.,
1998-067UV,,TJREVERB?,USA,12/29/2022,,Yes,ST/SG/SER.E/1110,ST/SG/SER.E/1146,decayed,6/13/2023,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is date of deployment from the ISS.,
2022-177M,,Starlink 5395?,USA,12/28/2022,,Yes,ST/SG/SER.E/1096,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2022-177N,,Starlink 5393?,USA,12/28/2022,,Yes,ST/SG/SER.E/1096,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2022-177H,,Starlink 5383?,USA,12/28/2022,,Yes,ST/SG/SER.E/1096,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2022-177J,,Starlink 5381?,USA,12/28/2022,,Yes,ST/SG/SER.E/1096,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2022-177P,,Starlink 5391?,USA,12/28/2022,,Yes,ST/SG/SER.E/1096,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2022-177Q,,Starlink 5386?,USA,12/28/2022,,Yes,ST/SG/SER.E/1096,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2022-177L,,Starlink 5394?,USA,12/28/2022,,Yes,ST/SG/SER.E/1096,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2022-177G,,Starlink 5107?,USA,12/28/2022,,Yes,ST/SG/SER.E/1096,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
