International Designator,National Designator,Name of Space Object,State/Organization,Date of Launch,GSO Location,UN Registered,Registration Document,Other Documents,Status,Date of Decay or Change,Function of Space Object,Secretariat`s Remarks,External website
2021-090J,49287,OWLID000331 (SL0361) [ONEWEB 0361],United Kingdom,10/14/2021,,Yes,ST/SG/SER.E/1026,ST/SG/SER.E/1028,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,Link
2021-090L,49289,OWLID000333 (SL0363) [ONEWEB 0363],United Kingdom,10/14/2021,,Yes,ST/SG/SER.E/1026,ST/SG/SER.E/1028,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,Link
2021-090G,49285,OWLID000329 (SL0359) [ONEWEB 0359],United Kingdom,10/14/2021,,Yes,ST/SG/SER.E/1026,ST/SG/SER.E/1028,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,Link
2021-090K,49288,OWLID000332 (SL0362) [ONEWEB 0362],United Kingdom,10/14/2021,,Yes,ST/SG/SER.E/1026,ST/SG/SER.E/1028,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,Link
2021-090D,49282,OWLID000326 (SL0353) [ONEWEB 0353],United Kingdom,10/14/2021,,Yes,ST/SG/SER.E/1026,ST/SG/SER.E/1028,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,Link
2021-090E,49283,OWLID000327 (SL0356) [ONEWEB 0356],United Kingdom,10/14/2021,,Yes,ST/SG/SER.E/1026,ST/SG/SER.E/1028,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,Link
2021-090F,49284,OWLID000328 (SL0358) [ONEWEB 0358],United Kingdom,10/14/2021,,Yes,ST/SG/SER.E/1026,ST/SG/SER.E/1028,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,Link
2021-090C,,OWLID000325 (SL0349) [ONEWEB 0349],United Kingdom,10/14/2021,,Yes,ST/SG/SER.E/1026,ST/SG/SER.E/1028,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,Link
2021-090N,49291,OWLID000335 (SL0365) [ONEWEB 0365],United Kingdom,10/14/2021,,Yes,ST/SG/SER.E/1026,ST/SG/SER.E/1028,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,Link
2021-090S,49295,OWLID000339 (SL0369) [ONEWEB 0369],United Kingdom,10/14/2021,,Yes,ST/SG/SER.E/1026,ST/SG/SER.E/1028,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,Link
