International Designator,National Designator,Name of Space Object,State/Organization,Date of Launch,GSO Location,UN Registered,Registration Document,Other Documents,Status,Date of Decay or Change,Function of Space Object,Secretariat`s Remarks,External website
2021-083AD,49213,OWLID000316 (SL0348) [ONEWEB 0348],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083AA,49210,OWLID000313 (SL0344) [ONEWEB 0344],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083AC,49212,OWLID000315 (SL0346) [ONEWEB 0346],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083AB,49211,OWLID000314 (SL0345) [ONEWEB 0345],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083AE,49214,OWLID000317 (SL0350) [ONEWEB 0350],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083AF,49215,OWLID000318 (SL0351) [ONEWEB 0351],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083AG,49216,OWLID000319 (SL0352) [ONEWEB 0352],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083Z,49209,OWLID000312 (SL0343) [ONEWEB 0343],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083Y,49208,OWLID000311 (SL0342) [ONEWEB 0342],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-082B,,Starlink 3096 ,USA,9/14/2021,,Yes,ST/SG/SER.E/1031,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2021-082C,,Starlink 3090 ,USA,9/14/2021,,Yes,ST/SG/SER.E/1031,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2021-082E,,Starlink 3078 ,USA,9/14/2021,,Yes,ST/SG/SER.E/1031,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
