International Designator,National Designator,Name of Space Object,State/Organization,Date of Launch,GSO Location,UN Registered,Registration Document,Other Documents,Status,Date of Decay or Change,Function of Space Object,Secretariat`s Remarks,External website
2024-254K,,Starlink-11477 ,USA,12/31/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-254P,,Starlink-32657 ,USA,12/31/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-254J,,Starlink-11497 ,USA,12/31/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-254G,,Starlink-11511 ,USA,12/31/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-254M,,Starlink-11464 ,USA,12/31/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-254F,,Starlink-11486 ,USA,12/31/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-254N,,Starlink-11502 ,USA,12/31/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-254H,,Starlink-11505 ,USA,12/31/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-254L,,Starlink-11500 ,USA,12/31/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-254E,,Starlink-11506 ,USA,12/31/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-254C,,Starlink-11459 ,USA,12/31/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-254B,,Starlink-11455 ,USA,12/31/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-254D,,Starlink-11178 ,USA,12/31/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-254A,,Starlink-11518 ,USA,12/31/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-254Q,,Starlink-32734 ,USA,12/31/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-254S,,Starlink-32707 ,USA,12/31/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-254R,,Starlink-32733 ,USA,12/31/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-254U,,Starlink-32743 ,USA,12/31/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-254V,,Starlink-32753 ,USA,12/31/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-254W,,Starlink-32699 ,USA,12/31/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-254T,,Starlink-32705 ,USA,12/31/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-253C,,PSLV-C60 R/B (POEM-4) ,India,12/30/2024,,Yes,ST/SG/SER.E/1323,ST/SG/SER.E/1323,decayed,4/4/2025,Orbital experimental module of PSLV-C60,The registration submission for this space object is presently being processed by the United Nations Secretariat.,
2024-253A,,SDX-01 ,India,12/30/2024,,Yes,ST/SG/SER.E/1323,,in orbit,,Technology demonstration satellite with autonomous rendezvous and docking,The registration submission for this space object is presently being processed by the United Nations Secretariat.,
2024-253B,,SDX-02 ,India,12/30/2024,,Yes,ST/SG/SER.E/1323,,in orbit,,Technology demonstration satellite with autonomous rendezvous and docking,The registration submission for this space object is presently being processed by the United Nations Secretariat.,
2024-251W,,Starlink-32656 ,USA,12/29/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-251X,,Starlink-32690 ,USA,12/29/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-251Q,,Starlink-32726 ,USA,12/29/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-251S,,Starlink-32719 ,USA,12/29/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-251P,,Starlink-32683 ,USA,12/29/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-251N,,Starlink-32737 ,USA,12/29/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-251U,,Starlink-32722 ,USA,12/29/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-251M,,Starlink-32736 ,USA,12/29/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-251R,,Starlink-32730 ,USA,12/29/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-251T,,Starlink-32723 ,USA,12/29/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-251V,,Starlink-32720 ,USA,12/29/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-251B,,Starlink-32712 ,USA,12/29/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-251A,,Starlink-32702 ,USA,12/29/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-251D,,Starlink-32711 ,USA,12/29/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-251C,,Starlink-32674 ,USA,12/29/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-251G,,Starlink-32721 ,USA,12/29/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-251H,,Starlink-32709 ,USA,12/29/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-251K,,Starlink-32724 ,USA,12/29/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-251F,,Starlink-32693 ,USA,12/29/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-251E,,Starlink-32697 ,USA,12/29/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2024-251J,,Starlink-32689 ,USA,12/29/2024,,Yes,ST/SG/SER.E/1249,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
