International Designator,National Designator,Name of Space Object,State/Organization,Date of Launch,GSO Location,UN Registered,Registration Document,Other Documents,Status,Date of Decay or Change,Function of Space Object,Secretariat`s Remarks,External website
2023-212C,,CSCN-B0003 [(HJS-4C)],China,12/30/2023,,Yes,ST/SG/SER.E/1237,,in orbit,,Communications technology experimental satellite,The registration submission for this space object is presently being processed by the United Nations Secretariat.,
2023-212A,,CSCN-B0001 [(HJS-4A)],China,12/30/2023,,Yes,ST/SG/SER.E/1237,,in orbit,,Communications technology experimental satellite,The registration submission for this space object is presently being processed by the United Nations Secretariat.,
2023-212B,,CSCN-B0002 [(HJS-4B)],China,12/30/2023,,Yes,ST/SG/SER.E/1237,,in orbit,,Communications technology experimental satellite,The registration submission for this space object is presently being processed by the United Nations Secretariat.,
2023-211A,,Starlink-31130 ,USA,12/29/2023,,Yes,ST/SG/SER.E/1188,ST/SG/SER.E/1195,[deorbited],1/4/2024,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is 2023-12-29 using UTC.,
2023-211B,,Starlink-31113 ,USA,12/29/2023,,Yes,ST/SG/SER.E/1188,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is 2023-12-29 using UTC.,
2023-211E,,Starlink-30828 ,USA,12/29/2023,,Yes,ST/SG/SER.E/1188,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is 2023-12-29 using UTC.,
2023-211F,,Starlink-31104 ,USA,12/29/2023,,Yes,ST/SG/SER.E/1188,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is 2023-12-29 using UTC.,
2023-211C,,Starlink-31128 ,USA,12/29/2023,,Yes,ST/SG/SER.E/1188,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is 2023-12-29 using UTC.,
2023-211D,,Starlink-31083 ,USA,12/29/2023,,Yes,ST/SG/SER.E/1188,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is 2023-12-29 using UTC.,
2023-210A,,USA 349 [(OTV-7)],USA,12/29/2023,,Yes,ST/SG/SER.E/1188,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is 2023-12-29 using UTC.,
2023-211Q,,Starlink-31147 ,USA,12/29/2023,,Yes,ST/SG/SER.E/1188,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is 2023-12-29 using UTC.,
2023-211L,,Starlink-31058 ,USA,12/29/2023,,Yes,ST/SG/SER.E/1188,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is 2023-12-29 using UTC.,
2023-211P,,Starlink-31112 ,USA,12/29/2023,,Yes,ST/SG/SER.E/1188,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is 2023-12-29 using UTC.,
2023-211H,,Starlink-31124 ,USA,12/29/2023,,Yes,ST/SG/SER.E/1188,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is 2023-12-29 using UTC.,
2023-211M,,Starlink-31125 ,USA,12/29/2023,,Yes,ST/SG/SER.E/1188,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is 2023-12-29 using UTC.,
