Model,Accuracy,Prec_NC,Rec_NC,F1_NC,ROC_AUC,TN,FP,FN,TP
LGBM_Baseline,0.983358547655068,0.8571428571428571,0.8333333333333334,0.8450704225352113,0.985,30,6,5,620
RF_Baseline,0.9803328290468987,0.8108108108108109,0.8333333333333334,0.821917808219178,0.9615333333333334,30,6,7,618
RF_ClassWeight,0.962178517397882,0.6078431372549019,0.8611111111111112,0.7126436781609196,0.9604,31,5,20,605
LGBM_SMOTE,0.9591527987897126,0.5818181818181818,0.8888888888888888,0.7032967032967034,0.9849333333333334,32,4,23,602
RF_SMOTE,0.9546142208774584,0.5535714285714286,0.8611111111111112,0.6739130434782609,0.9685111111111111,31,5,25,600
LGBM_ClassWeight,0.9712556732223904,0.9473684210526315,0.5,0.6545454545454545,0.9840666666666668,18,18,1,624
LR_Baseline,0.05446293494704992,0.05446293494704992,1.0,0.10329985652797705,0.5,36,0,625,0
LR_SMOTE,0.05446293494704992,0.05446293494704992,1.0,0.10329985652797705,0.5,36,0,625,0
LR_ClassWeight,0.05446293494704992,0.05446293494704992,1.0,0.10329985652797705,0.5,36,0,625,0
